agent_id,agent_name,state,district,n_producers,quality_score,tenure_years,base_conversion_rate,base_retention_rate,base_cancellation_rate,avg_premium_multiplier
EA-0001,Agent_0001,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.11318590554277409,0.7833843629249161
EA-0002,Agent_0002,California,CAL-D01,2,0.5367447965029537,16.82088572509891,0.18748616749697103,0.7229371128082289,0.11425067657908698,0.6458766446698768
EA-0003,Agent_0003,California,CAL-D01,4,0.9096695293967186,13.059648080011225,0.29530945085229077,0.8184997284364547,0.026168125883656083,1.2301616779332705
EA-0004,Agent_0004,California,CAL-D01,5,0.8770181756508404,4.0641638016384345,0.2541141306992165,0.825298856091817,0.02563429068655313,0.7621257454699905
EA-0005,Agent_0005,California,CAL-D01,5,0.4912469181469279,6.813175858862397,0.4615215417876238,0.787777442311062,0.06299484607230325,1.503440686780453
EA-0006,Agent_0006,California,CAL-D01,2,0.7759130917324906,7.5905262861619045,0.5202767680407825,0.5962483169356264,0.16257809959406333,0.7835798337795937
EA-0007,Agent_0007,California,CAL-D01,2,0.8336777646293068,3.062939081573427,0.20805050205152972,0.8794038422756674,0.02246361726465446,1.286013034068894
EA-0008,Agent_0008,California,CAL-D01,4,0.7474374024719366,19.855135717060904,0.29447357814447683,0.8118771505350924,0.1148575702449749,0.6925736384125802
EA-0009,Agent_0009,California,CAL-D02,4,0.7887690555916076,1.2647894664558295,0.4017405009264938,0.9335216918465992,0.08138421149871651,0.8648053467783584
EA-0010,Agent_0010,California,CAL-D02,6,0.8933366386809102,8.963172067009772,0.6632585610279427,0.6703213801010669,0.07137758610035022,0.727075959394544
EA-0011,Agent_0011,California,CAL-D02,7,0.9468846920877557,3.0002835172283744,0.1340425254769658,0.6451753810680426,0.07963186951800212,0.9231936633852347
EA-0012,Agent_0012,California,CAL-D03,5,0.49037314565664286,1.9358282786242857,0.14318730537133073,0.6191571310073434,0.053688674320215936,0.9694305124916405
EA-0013,Agent_0013,California,CAL-D03,6,0.6475852103470072,7.982724392187432,0.40005118610091756,0.7275702909389664,0.11493444467290946,1.281968071598697
EA-0014,Agent_0014,California,CAL-D03,4,0.788764048918011,2.8068192163687575,0.6708954140404505,0.520347416913413,0.04425469396531558,0.8176326852874141
EA-0015,Agent_0015,California,CAL-D04,4,0.7411737446379107,13.75339685286326,0.397989699793481,0.7887427293824081,0.14794103316664559,0.8000536679364265
EA-0016,Agent_0016,California,CAL-D04,7,0.9842548901266024,14.035830937003528,0.46115027780799817,0.6366955431331689,0.1558785049629354,0.8680266950823796
EA-0017,Agent_0017,California,CAL-D04,5,0.8502254860428443,15.758590873152153,0.34365011900276227,0.9747088611640754,0.022791499381279362,0.9180850735759877
EA-0018,Agent_0018,California,CAL-D04,3,0.6742348817628386,12.970225046951576,0.30105496052127906,0.5722435217779975,0.09250260609022869,0.5773701284057726
EA-0019,Agent_0019,California,CAL-D04,1,0.7903170826018652,13.09175850004776,0.23258439664202404,0.7698024543997081,0.09427112284084828,1.8646887679541093
EA-0020,Agent_0020,California,CAL-D04,2,0.6525459900392253,8.766879079145244,0.16441806791539446,0.6603055575912891,0.10476559129389626,1.204122800061983
EA-0021,Agent_0021,California,CAL-D04,6,0.7532457003099824,16.19753780451289,0.2867904028886195,0.7896939871796047,0.1490144319345759,0.6385736580591326
EA-0022,Agent_0022,California,CAL-D05,7,0.626658707429628,4.111274780907621,0.12530298033499934,0.7923256503334752,0.05408446736474984,1.5990591203589088
EA-0023,Agent_0023,California,CAL-D05,3,0.6568628904489199,10.372509541162666,0.24918613566958672,0.8301271174053836,0.02877997025401333,1.1817070348731207
EA-0024,Agent_0024,California,CAL-D05,8,0.5838802780579713,4.3726250663023825,0.4139275306261316,0.9578162013913593,0.089953329929646,1.4931019924733577
EA-0025,Agent_0025,California,CAL-D06,7,0.6903918032141421,9.834495667679407,0.11572470731128037,0.7105449055521791,0.09461097391683122,1.0731334571242033
EA-0026,Agent_0026,California,CAL-D06,5,0.7490178606263241,10.777957500210647,0.24825706505374062,0.9926676712983887,0.38252665033901995,0.9177163849501696
EA-0027,Agent_0027,California,CAL-D06,2,0.6824813564075242,6.630879083212133,0.20430322667069567,0.7116149474843523,0.16081592085918806,1.1926500334029932
EA-0028,Agent_0028,California,CAL-D06,1,0.44536070784265375,19.22497618404694,0.3118557491011357,0.6188368152023558,0.1243865459843598,1.1104942503076127
EA-0029,Agent_0029,California,CAL-D06,6,0.8718229729565413,11.681243941013872,0.5133665317962215,0.9828510801847203,0.05119578762181389,0.9414524879581868
EA-0030,Agent_0030,California,CAL-D06,1,0.44787912677715974,4.933390288971427,0.30296423008264284,0.8555371178059306,0.02299407110323796,0.7358830410527217
EA-0031,Agent_0031,California,CAL-D06,3,0.5884296882360528,1.9228165070922034,0.15224170576260754,0.7920712261119179,0.20665358366483702,1.428060925579034
EA-0032,Agent_0032,California,CAL-D06,2,0.7420832434163688,17.25433929402113,0.3803894195818472,0.9490470327003205,0.09288730804095276,1.2485767103883068
EA-0033,Agent_0033,California,CAL-D06,1,0.6292618551470721,14.45373347798817,0.4733443300955101,0.9259209059436039,0.08240433551002713,1.7147518049401096
EA-0034,Agent_0034,California,CAL-D06,6,0.5721776446143024,16.888658360009423,0.20151000364796,0.9258620178364876,0.08120115943714525,0.6884849889049751
EA-0035,Agent_0035,California,CAL-D07,3,0.7285095875611655,19.26944296127962,0.3232563310327888,0.6771825983296492,0.1495689530311862,0.7129569568478231
EA-0036,Agent_0036,California,CAL-D07,4,0.6406776001124067,14.666938140125648,0.24744511687043586,0.7593014758347651,0.05311688300936253,1.0042043802708256
EA-0037,Agent_0037,California,CAL-D08,4,0.7050310895028135,10.148335466199333,0.5835819445294762,0.8324095933977392,0.1154084084856351,0.7203650674364692
EA-0038,Agent_0038,California,CAL-D08,3,0.6412668757521482,5.8118540136037495,0.30162251818244495,0.8032273535591247,0.08011040527818596,0.9346067421795415
