agent_id,year,month,year_month,gwp,pif,new_business_gwp,new_business_count,renewal_count,cancellation_count,lapse_count,policy_count,avg_premium,avg_discount,avg_credit_score,anomaly_count,state,district,n_producers,quality_score,tenure_years,base_conversion_rate,base_retention_rate,renewal_rate,cancellation_rate,conversion_rate,retention_rate,nb_rate,gwp_per_producer,year_month_dt
EA-0001,2021,1,2021-01,12533.69,12,4087.4200000000005,3,8,0,0,12,1044.4741666666666,0.13735833333333333,664.1666666666666,2,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.7272727272066115,0.0,0.21335851879549347,0.7550268489743583,0.24999999997916666,2088.9483329851755,2021-01-01
EA-0001,2021,2,2021-02,10633.55,7,1319.6399999999999,2,3,2,0,9,1181.5055555555555,0.15180000000000002,708.4444444444445,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.59999999988,0.22222222219753085,0.21335851879549347,0.7550268489743583,0.22222222219753085,1772.2583330379568,2021-02-01
EA-0001,2021,3,2021-03,23255.13,19,9732.36,8,11,2,0,21,1107.3871428571429,0.18877142857142856,698.0,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.5789473683905817,0.0952380952335601,0.21335851879549347,0.7550268489743583,0.3809523809342404,3875.854999354024,2021-03-01
EA-0001,2021,4,2021-04,9408.91,7,4997.71,3,3,0,0,7,1344.1299999999999,0.09574285714285714,692.7142857142857,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.49999999991666666,0.0,0.21335851879549347,0.7550268489743583,0.4285714285102041,1568.151666405308,2021-04-01
EA-0001,2021,5,2021-05,27587.01,11,17416.75,5,6,1,0,12,2298.9175,0.12036666666666666,711.8333333333334,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.5454545454049586,0.08333333332638888,0.21335851879549347,0.7550268489743583,0.41666666663194446,4597.834999233693,2021-05-01
EA-0001,2021,6,2021-06,19875.8,13,9540.47,6,5,1,0,14,1419.7,0.10757142857142857,666.2142857142857,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.45454545450413225,0.07142857142346938,0.21335851879549347,0.7550268489743583,0.4285714285408163,3312.6333327812276,2021-06-01
EA-0001,2021,7,2021-07,11287.83,14,2203.04,3,10,0,0,14,806.2735714285715,0.1425,721.3571428571429,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.7692307691715976,0.0,0.21335851879549347,0.7550268489743583,0.21428571427040816,1881.304999686449,2021-07-01
EA-0001,2021,8,2021-08,30745.15,6,20594.620000000003,2,2,2,0,8,3843.14375,0.11775,645.625,2,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.499999999875,0.24999999996875,0.21335851879549347,0.7550268489743583,0.24999999996875,5124.191665812635,2021-08-01
EA-0001,2021,9,2021-09,17406.489999999998,14,8245.1,7,6,1,0,15,1160.4326666666666,0.19409333333333334,718.4,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.4615384615029586,0.06666666666222222,0.21335851879549347,0.7550268489743583,0.46666666663555556,2901.0816661831527,2021-09-01
EA-0001,2021,10,2021-10,17657.13,12,6438.32,5,5,0,0,12,1471.4275,0.16318333333333332,741.25,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.49999999995,0.0,0.21335851879549347,0.7550268489743583,0.41666666663194446,2942.854999509524,2021-10-01
EA-0001,2021,11,2021-11,13963.48,10,2938.11,3,8,4,0,14,997.3914285714285,0.16097857142857142,712.7857142857143,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.7272727272066115,0.2857142856938775,0.21335851879549347,0.7550268489743583,0.21428571427040816,2327.246666278792,2021-11-01
EA-0001,2021,12,2021-12,9852.87,8,1750.16,2,6,1,0,9,1094.7633333333333,0.1708888888888889,685.3333333333334,2,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.74999999990625,0.11111111109876542,0.21335851879549347,0.7550268489743583,0.22222222219753085,1642.1449997263094,2021-12-01
EA-0001,2022,1,2022-01,16165.38,11,4429.45,4,7,2,0,13,1243.4907692307693,0.1319076923076923,716.1538461538462,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.6363636363057851,0.15384615383431952,0.21335851879549347,0.7550268489743583,0.30769230766863903,2694.2299995509616,2022-01-01
EA-0001,2022,2,2022-02,11562.3,10,5925.12,7,4,1,0,11,1051.1181818181817,0.21055454545454547,736.2727272727273,1,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.36363636360330576,0.09090909090082644,0.21335851879549347,0.7550268489743583,0.6363636363057851,1927.0499996788249,2022-02-01
EA-0001,2022,3,2022-03,29244.01,10,12678.33,5,5,2,1,13,2249.5392307692305,0.14694615384615384,733.1538461538462,2,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.49999999995,0.15384615383431952,0.21335851879549347,0.7550268489743583,0.3846153845857988,4874.001665854333,2022-03-01
EA-0001,2022,4,2022-04,28404.36,13,2605.73,2,10,0,0,13,2184.9507692307693,0.14696923076923077,697.2307692307693,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.8333333332638889,0.0,0.21335851879549347,0.7550268489743583,0.15384615383431952,4734.05999921099,2022-04-01
EA-0001,2022,5,2022-05,17678.35,6,10566.380000000001,2,1,2,0,8,2209.79375,0.15025,647.125,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.3333333332222222,0.24999999996875,0.21335851879549347,0.7550268489743583,0.24999999996875,2946.391666175601,2022-05-01
EA-0001,2022,6,2022-06,19164.8,10,3488.09,2,7,1,0,11,1742.2545454545455,0.19362727272727273,707.2727272727273,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.777777777691358,0.09090909090082644,0.21335851879549347,0.7550268489743583,0.18181818180165288,3194.1333328009778,2022-06-01
EA-0001,2022,7,2022-07,12826.630000000001,7,8615.42,5,3,1,0,8,1603.3287500000001,0.169025,724.125,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.374999999953125,0.124999999984375,0.21335851879549347,0.7550268489743583,0.624999999921875,2137.7716663103715,2022-07-01
EA-0001,2022,8,2022-08,11243.11,10,5998.7,6,5,1,0,11,1022.1009090909091,0.16157272727272726,718.4545454545455,1,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.45454545450413225,0.09090909090082644,0.21335851879549347,0.7550268489743583,0.5454545454049586,1873.851666354358,2022-08-01
EA-0001,2022,9,2022-09,27546.37,13,19408.96,8,6,1,0,14,1967.597857142857,0.18499285714285715,677.4285714285714,0,California,CAL-D01,6,0.6416135616155726,15.403667061622103,0.21335851879549347,0.7550268489743583,0.4285714285408163,0.07142857142346938,0.21335851879549347,0.7550268489743583,0.571428571387755,4591.0616659014895,2022-09-01
